Fila,n,C(n)
FLEV1,1961,5882
FLEV2,1961,5883
FLEV3,1961,7844
FLEV4,1961,15685
FLC,1962,1962
FLEV1,1962,5885
FLEV2,1962,5886
FLEV3,1962,7848
FLEV4,1962,15693
FLC,1963,1963
FLEV1,1963,5888
FLEV2,1963,5889
FLEV3,1963,7852
FLEV4,1963,15701
FLC,1964,1964
FLEV1,1964,5891
FLEV2,1964,5892
FLEV3,1964,7856
FLEV4,1964,15709
FLC,1965,1965
FLEV1,1965,5894
FLEV2,1965,5895
FLEV3,1965,7860
FLEV4,1965,15717
FLC,1966,1966
FLEV1,1966,5897
FLEV2,1966,5898
FLEV3,1966,7864
FLEV4,1966,15725
FLC,1967,1967
FLEV1,1967,5900
FLEV2,1967,5901
FLEV3,1967,7868
FLEV4,1967,15733
FLC,1968,1968
FLEV1,1968,5903
FLEV2,1968,5904
FLEV3,1968,7872
FLEV4,1968,15741
FLC,1969,1969
FLEV1,1969,5906
FLEV2,1969,5907
FLEV3,1969,7876
FLEV4,1969,15749
FLC,1970,1970
FLEV1,1970,5909
FLEV2,1970,5910
FLEV3,1970,7880
FLEV4,1970,15757
FLC,1971,1971
FLEV1,1971,5912
FLEV2,1971,5913
FLEV3,1971,7884
FLEV4,1971,15765
FLC,1972,1972
FLEV1,1972,5915
FLEV2,1972,5916
FLEV3,1972,7888
FLEV4,1972,15773
FLC,1973,1973
FLEV1,1973,5918
FLEV2,1973,5919
FLEV3,1973,7892
FLEV4,1973,15781
FLC,1974,1974
FLEV1,1974,5921
FLEV2,1974,5922
FLEV3,1974,7896
FLEV4,1974,15789
FLC,1975,1975
FLEV1,1975,5924
FLEV2,1975,5925
FLEV3,1975,7900
FLEV4,1975,15797
FLC,1976,1976
FLEV1,1976,5927
FLEV2,1976,5928
FLEV3,1976,7904
FLEV4,1976,15805
FLC,1977,1977
FLEV1,1977,5930
FLEV2,1977,5931
FLEV3,1977,7908
FLEV4,1977,15813
FLC,1978,1978
FLEV1,1978,5933
FLEV2,1978,5934
FLEV3,1978,7912
FLEV4,1978,15821
FLC,1979,1979
FLEV1,1979,5936
FLEV2,1979,5937
FLEV3,1979,7916
FLEV4,1979,15829
FLC,1980,1980
FLEV1,1980,5939
FLEV2,1980,5940
FLEV3,1980,7920
FLEV4,1980,15837
FLC,1981,1981
FLEV1,1981,5942
FLEV2,1981,5943
FLEV3,1981,7924
FLEV4,1981,15845
FLC,1982,1982
FLEV1,1982,5945
FLEV2,1982,5946
FLEV3,1982,7928
FLEV4,1982,15853
FLC,1983,1983
FLEV1,1983,5948
FLEV2,1983,5949
FLEV3,1983,7932
FLEV4,1983,15861
FLC,1984,1984
FLEV1,1984,5951
FLEV2,1984,5952
FLEV3,1984,7936
FLEV4,1984,15869
FLC,1985,1985
FLEV1,1985,5954
FLEV2,1985,5955
FLEV3,1985,7940
FLEV4,1985,15877
FLC,1986,1986
FLEV1,1986,5957
FLEV2,1986,5958
FLEV3,1986,7944
FLEV4,1986,15885
FLC,1987,1987
FLEV1,1987,5960
FLEV2,1987,5961
FLEV3,1987,7948
FLEV4,1987,15893
FLC,1988,1988
FLEV1,1988,5963
FLEV2,1988,5964
FLEV3,1988,7952
FLEV4,1988,15901
FLC,1989,1989
FLEV1,1989,5966
FLEV2,1989,5967
FLEV3,1989,7956
FLEV4,1989,15909
FLC,1990,1990
FLEV1,1990,5969
FLEV2,1990,5970
FLEV3,1990,7960
FLEV4,1990,15917
FLC,1991,1991
FLEV1,1991,5972
FLEV2,1991,5973
FLEV3,1991,7964
FLEV4,1991,15925
FLC,1992,1992
FLEV1,1992,5975
FLEV2,1992,5976
FLEV3,1992,7968
FLEV4,1992,15933
FLC,1993,1993
FLEV1,1993,5978
FLEV2,1993,5979
FLEV3,1993,7972
FLEV4,1993,15941
FLC,1994,1994
FLEV1,1994,5981
FLEV2,1994,5982
FLEV3,1994,7976
FLEV4,1994,15949
FLC,1995,1995
FLEV1,1995,5984
FLEV2,1995,5985
FLEV3,1995,7980
FLEV4,1995,15957
FLC,1996,1996
FLEV1,1996,5987
FLEV2,1996,5988
FLEV3,1996,7984
FLEV4,1996,15965
FLC,1997,1997
FLEV1,1997,5990
FLEV2,1997,5991
FLEV3,1997,7988
FLEV4,1997,15973
FLC,1998,1998
FLEV1,1998,5993
FLEV2,1998,5994
FLEV3,1998,7992
FLEV4,1998,15981
FLC,1999,1999
FLEV1,1999,5996
FLEV2,1999,5997
FLEV3,1999,7996
FLEV4,1999,15989
FLC,2000,2000
FLEV1,2000,5999
FLEV2,2000,6000
FLEV3,2000,8000
FLEV4,2000,15997
FLC,2001,2001
FLEV1,2001,6002
FLEV2,2001,6003
FLEV3,2001,8004
FLEV4,2001,16005
FLC,2002,2002
FLEV1,2002,6005
FLEV2,2002,6006
FLEV3,2002,8008
FLEV4,2002,16013
FLC,2003,2003
FLEV1,2003,6008
FLEV2,2003,6009
FLEV3,2003,8012
FLEV4,2003,16021
FLC,2004,2004
FLEV1,2004,6011
FLEV2,2004,6012
FLEV3,2004,8016
FLEV4,2004,16029
FLC,2005,2005
FLEV1,2005,6014
FLEV2,2005,6015
FLEV3,2005,8020
FLEV4,2005,16037
FLC,2006,2006
FLEV1,2006,6017
FLEV2,2006,6018
FLEV3,2006,8024
FLEV4,2006,16045
FLC,2007,2007
FLEV1,2007,6020
FLEV2,2007,6021
FLEV3,2007,8028
FLEV4,2007,16053
FLC,2008,2008
FLEV1,2008,6023
FLEV2,2008,6024
FLEV3,2008,8032
FLEV4,2008,16061
FLC,2009,2009
FLEV1,2009,6026
FLEV2,2009,6027
FLEV3,2009,8036
FLEV4,2009,16069
FLC,2010,2010
FLEV1,2010,6029
FLEV2,2010,6030
FLEV3,2010,8040
FLEV4,2010,16077
FLC,2011,2011
FLEV1,2011,6032
FLEV2,2011,6033
FLEV3,2011,8044
FLEV4,2011,16085
FLC,2012,2012
FLEV1,2012,6035
FLEV2,2012,6036
FLEV3,2012,8048
FLEV4,2012,16093
FLC,2013,2013
FLEV1,2013,6038
FLEV2,2013,6039
FLEV3,2013,8052
FLEV4,2013,16101
FLC,2014,2014
FLEV1,2014,6041
FLEV2,2014,6042
FLEV3,2014,8056
FLEV4,2014,16109
FLC,2015,2015
FLEV1,2015,6044
FLEV2,2015,6045
FLEV3,2015,8060
FLEV4,2015,16117
FLC,2016,2016
FLEV1,2016,6047
FLEV2,2016,6048
FLEV3,2016,8064
FLEV4,2016,16125
FLC,2017,2017
FLEV1,2017,6050
FLEV2,2017,6051
FLEV3,2017,8068
FLEV4,2017,16133
FLC,2018,2018
FLEV1,2018,6053
FLEV2,2018,6054
FLEV3,2018,8072
FLEV4,2018,16141
FLC,2019,2019
FLEV1,2019,6056
FLEV2,2019,6057
FLEV3,2019,8076
FLEV4,2019,16149
FLC,2020,2020
FLEV1,2020,6059
FLEV2,2020,6060
FLEV3,2020,8080
FLEV4,2020,16157
FLC,2021,2021
FLEV1,2021,6062
FLEV2,2021,6063
FLEV3,2021,8084
FLEV4,2021,16165
FLC,2022,2022
FLEV1,2022,6065
FLEV2,2022,6066
FLEV3,2022,8088
FLEV4,2022,16173
FLC,2023,2023
FLEV1,2023,6068
FLEV2,2023,6069
FLEV3,2023,8092
FLEV4,2023,16181
FLC,2024,2024
FLEV1,2024,6071
FLEV2,2024,6072
FLEV3,2024,8096
FLEV4,2024,16189
FLC,2025,2025
FLEV1,2025,6074
FLEV2,2025,6075
FLEV3,2025,8100
FLEV4,2025,16197
FLC,2026,2026
FLEV1,2026,6077
FLEV2,2026,6078
FLEV3,2026,8104
FLEV4,2026,16205
FLC,2027,2027
FLEV1,2027,6080
FLEV2,2027,6081
FLEV3,2027,8108
FLEV4,2027,16213
FLC,2028,2028
FLEV1,2028,6083
FLEV2,2028,6084
FLEV3,2028,8112
FLEV4,2028,16221
FLC,2029,2029
FLEV1,2029,6086
FLEV2,2029,6087
FLEV3,2029,8116
FLEV4,2029,16229
FLC,2030,2030
FLEV1,2030,6089
FLEV2,2030,6090
FLEV3,2030,8120
FLEV4,2030,16237
FLC,2031,2031
FLEV1,2031,6092
FLEV2,2031,6093
FLEV3,2031,8124
FLEV4,2031,16245
FLC,2032,2032
FLEV1,2032,6095
FLEV2,2032,6096
FLEV3,2032,8128
FLEV4,2032,16253
FLC,2033,2033
FLEV1,2033,6098
FLEV2,2033,6099
FLEV3,2033,8132
FLEV4,2033,16261
FLC,2034,2034
FLEV1,2034,6101
FLEV2,2034,6102
FLEV3,2034,8136
FLEV4,2034,16269
FLC,2035,2035
FLEV1,2035,6104
FLEV2,2035,6105
FLEV3,2035,8140
FLEV4,2035,16277
FLC,2036,2036
FLEV1,2036,6107
FLEV2,2036,6108
FLEV3,2036,8144
FLEV4,2036,16285
FLC,2037,2037
FLEV1,2037,6110
FLEV2,2037,6111
FLEV3,2037,8148
FLEV4,2037,16293
FLC,2038,2038
FLEV1,2038,6113
FLEV2,2038,6114
FLEV3,2038,8152
FLEV4,2038,16301
FLC,2039,2039
FLEV1,2039,6116
FLEV2,2039,6117
FLEV3,2039,8156
FLEV4,2039,16309
FLC,2040,2040
FLEV1,2040,6119
FLEV2,2040,6120
FLEV3,2040,8160
FLEV4,2040,16317
FLC,2041,2041
FLEV1,2041,6122
FLEV2,2041,6123
FLEV3,2041,8164
FLEV4,2041,16325
FLC,2042,2042
FLEV1,2042,6125
FLEV2,2042,6126
FLEV3,2042,8168
FLEV4,2042,16333
FLC,2043,2043
FLEV1,2043,6128
FLEV2,2043,6129
FLEV3,2043,8172
FLEV4,2043,16341
FLC,2044,2044
FLEV1,2044,6131
FLEV2,2044,6132
FLEV3,2044,8176
FLEV4,2044,16349
FLC,2045,2045
FLEV1,2045,6134
FLEV2,2045,6135
FLEV3,2045,8180
FLEV4,2045,16357
FLC,2046,2046
FLEV1,2046,6137
FLEV2,2046,6138
FLEV3,2046,8184
FLEV4,2046,16365
FLC,2047,2047
FLEV1,2047,6140
FLEV2,2047,6141
FLEV3,2047,8188
FLEV4,2047,16373
FLC,2048,2048
FLEV1,2048,6143
FLEV2,2048,6144
FLEV3,2048,8192
FLEV4,2048,16381
FLC,2049,2049
FLEV1,2049,6146
FLEV2,2049,6147
FLEV3,2049,8196
FLEV4,2049,16389
FLC,2050,2050
FLEV1,2050,6149
FLEV2,2050,6150
FLEV3,2050,8200
FLEV4,2050,16397
FLC,2051,2051
FLEV1,2051,6152
FLEV2,2051,6153
FLEV3,2051,8204
FLEV4,2051,16405
FLC,2052,2052
FLEV1,2052,6155
FLEV2,2052,6156
FLEV3,2052,8208
FLEV4,2052,16413
FLC,2053,2053
FLEV1,2053,6158
FLEV2,2053,6159
FLEV3,2053,8212
FLEV4,2053,16421
FLC,2054,2054
FLEV1,2054,6161
FLEV2,2054,6162
FLEV3,2054,8216
FLEV4,2054,16429
FLC,2055,2055
FLEV1,2055,6164
FLEV2,2055,6165
FLEV3,2055,8220
FLEV4,2055,16437
FLC,2056,2056
FLEV1,2056,6167
FLEV2,2056,6168
FLEV3,2056,8224
FLEV4,2056,16445
FLC,2057,2057
FLEV1,2057,6170
FLEV2,2057,6171
FLEV3,2057,8228
FLEV4,2057,16453
FLC,2058,2058
FLEV1,2058,6173
FLEV2,2058,6174
FLEV3,2058,8232
FLEV4,2058,16461
FLC,2059,2059
FLEV1,2059,6176
FLEV2,2059,6177
FLEV3,2059,8236
FLEV4,2059,16469
FLC,2060,2060
FLEV1,2060,6179
FLEV2,2060,6180
FLEV3,2060,8240
FLEV4,2060,16477
FLC,2061,2061
FLEV1,2061,6182
FLEV2,2061,6183
FLEV3,2061,8244
FLEV4,2061,16485
FLC,2062,2062
FLEV1,2062,6185
FLEV2,2062,6186
FLEV3,2062,8248
FLEV4,2062,16493
FLC,2063,2063
FLEV1,2063,6188
FLEV2,2063,6189
FLEV3,2063,8252
FLEV4,2063,16501
FLC,2064,2064
FLEV1,2064,6191
FLEV2,2064,6192
FLEV3,2064,8256
FLEV4,2064,16509
FLC,2065,2065
FLEV1,2065,6194
FLEV2,2065,6195
FLEV3,2065,8260
FLEV4,2065,16517
FLC,2066,2066
FLEV1,2066,6197
FLEV2,2066,6198
FLEV3,2066,8264
FLEV4,2066,16525
FLC,2067,2067
FLEV1,2067,6200
FLEV2,2067,6201
FLEV3,2067,8268
FLEV4,2067,16533
FLC,2068,2068
FLEV1,2068,6203
FLEV2,2068,6204
FLEV3,2068,8272
FLEV4,2068,16541
FLC,2069,2069
FLEV1,2069,6206
FLEV2,2069,6207
FLEV3,2069,8276
FLEV4,2069,16549
FLC,2070,2070
FLEV1,2070,6209
FLEV2,2070,6210
FLEV3,2070,8280
FLEV4,2070,16557
FLC,2071,2071
FLEV1,2071,6212
FLEV2,2071,6213
FLEV3,2071,8284
FLEV4,2071,16565
FLC,2072,2072
FLEV1,2072,6215
FLEV2,2072,6216
FLEV3,2072,8288
FLEV4,2072,16573
FLC,2073,2073
FLEV1,2073,6218
FLEV2,2073,6219
FLEV3,2073,8292
FLEV4,2073,16581
FLC,2074,2074
FLEV1,2074,6221
FLEV2,2074,6222
FLEV3,2074,8296
FLEV4,2074,16589
FLC,2075,2075
FLEV1,2075,6224
FLEV2,2075,6225
FLEV3,2075,8300
FLEV4,2075,16597
FLC,2076,2076
FLEV1,2076,6227
FLEV2,2076,6228
FLEV3,2076,8304
FLEV4,2076,16605
FLC,2077,2077
FLEV1,2077,6230
FLEV2,2077,6231
FLEV3,2077,8308
FLEV4,2077,16613
FLC,2078,2078
FLEV1,2078,6233
FLEV2,2078,6234
FLEV3,2078,8312
FLEV4,2078,16621
FLC,2079,2079
FLEV1,2079,6236
FLEV2,2079,6237
FLEV3,2079,8316
FLEV4,2079,16629
FLC,2080,2080
FLEV1,2080,6239
FLEV2,2080,6240
FLEV3,2080,8320
FLEV4,2080,16637
FLC,2081,2081
FLEV1,2081,6242
FLEV2,2081,6243
FLEV3,2081,8324
FLEV4,2081,16645
FLC,2082,2082
FLEV1,2082,6245
FLEV2,2082,6246
FLEV3,2082,8328
FLEV4,2082,16653
FLC,2083,2083
FLEV1,2083,6248
FLEV2,2083,6249
FLEV3,2083,8332
FLEV4,2083,16661
FLC,2084,2084
FLEV1,2084,6251
FLEV2,2084,6252
FLEV3,2084,8336
FLEV4,2084,16669
FLC,2085,2085
FLEV1,2085,6254
FLEV2,2085,6255
FLEV3,2085,8340
FLEV4,2085,16677
FLC,2086,2086
FLEV1,2086,6257
FLEV2,2086,6258
FLEV3,2086,8344
FLEV4,2086,16685
FLC,2087,2087
FLEV1,2087,6260
FLEV2,2087,6261
FLEV3,2087,8348
FLEV4,2087,16693
FLC,2088,2088
FLEV1,2088,6263
FLEV2,2088,6264
FLEV3,2088,8352
FLEV4,2088,16701
FLC,2089,2089
FLEV1,2089,6266
FLEV2,2089,6267
FLEV3,2089,8356
FLEV4,2089,16709
FLC,2090,2090
FLEV1,2090,6269
FLEV2,2090,6270
FLEV3,2090,8360
FLEV4,2090,16717
FLC,2091,2091
FLEV1,2091,6272
FLEV2,2091,6273
FLEV3,2091,8364
FLEV4,2091,16725
FLC,2092,2092
FLEV1,2092,6275
FLEV2,2092,6276
FLEV3,2092,8368
FLEV4,2092,16733
FLC,2093,2093
FLEV1,2093,6278
FLEV2,2093,6279
FLEV3,2093,8372
FLEV4,2093,16741
FLC,2094,2094
FLEV1,2094,6281
FLEV2,2094,6282
FLEV3,2094,8376
FLEV4,2094,16749
FLC,2095,2095
FLEV1,2095,6284
FLEV2,2095,6285
FLEV3,2095,8380
FLEV4,2095,16757
FLC,2096,2096
FLEV1,2096,6287
FLEV2,2096,6288
FLEV3,2096,8384
FLEV4,2096,16765
FLC,2097,2097
FLEV1,2097,6290
FLEV2,2097,6291
FLEV3,2097,8388
FLEV4,2097,16773
FLC,2098,2098
FLEV1,2098,6293
FLEV2,2098,6294
FLEV3,2098,8392
FLEV4,2098,16781
FLC,2099,2099
FLEV1,2099,6296
FLEV2,2099,6297
FLEV3,2099,8396
FLEV4,2099,16789
FLC,2100,2100
FLEV1,2100,6299
FLEV2,2100,6300
FLEV3,2100,8400
FLEV4,2100,16797
FLC,2101,2101
FLEV1,2101,6302
FLEV2,2101,6303
FLEV3,2101,8404
FLEV4,2101,16805
FLC,2102,2102
FLEV1,2102,6305
FLEV2,2102,6306
FLEV3,2102,8408
FLEV4,2102,16813
FLC,2103,2103
FLEV1,2103,6308
FLEV2,2103,6309
FLEV3,2103,8412
FLEV4,2103,16821
FLC,2104,2104
FLEV1,2104,6311
FLEV2,2104,6312
FLEV3,2104,8416
FLEV4,2104,16829
FLC,2105,2105
FLEV1,2105,6314
FLEV2,2105,6315
FLEV3,2105,8420
FLEV4,2105,16837
FLC,2106,2106
FLEV1,2106,6317
FLEV2,2106,6318
FLEV3,2106,8424
FLEV4,2106,16845
FLC,2107,2107
FLEV1,2107,6320
FLEV2,2107,6321
FLEV3,2107,8428
FLEV4,2107,16853
FLC,2108,2108
FLEV1,2108,6323
FLEV2,2108,6324
FLEV3,2108,8432
FLEV4,2108,16861
FLC,2109,2109
FLEV1,2109,6326
FLEV2,2109,6327
FLEV3,2109,8436
FLEV4,2109,16869
FLC,2110,2110
FLEV1,2110,6329
FLEV2,2110,6330
FLEV3,2110,8440
FLEV4,2110,16877
FLC,2111,2111
FLEV1,2111,6332
FLEV2,2111,6333
FLEV3,2111,8444
FLEV4,2111,16885
FLC,2112,2112
FLEV1,2112,6335
FLEV2,2112,6336
FLEV3,2112,8448
FLEV4,2112,16893
FLC,2113,2113
FLEV1,2113,6338
FLEV2,2113,6339
FLEV3,2113,8452
FLEV4,2113,16901
FLC,2114,2114
FLEV1,2114,6341
FLEV2,2114,6342
FLEV3,2114,8456
FLEV4,2114,16909
FLC,2115,2115
FLEV1,2115,6344
FLEV2,2115,6345
FLEV3,2115,8460
FLEV4,2115,16917
FLC,2116,2116
FLEV1,2116,6347
FLEV2,2116,6348
FLEV3,2116,8464
FLEV4,2116,16925
FLC,2117,2117
FLEV1,2117,6350
FLEV2,2117,6351
FLEV3,2117,8468
FLEV4,2117,16933
FLC,2118,2118
FLEV1,2118,6353
FLEV2,2118,6354
FLEV3,2118,8472
FLEV4,2118,16941
FLC,2119,2119
FLEV1,2119,6356
FLEV2,2119,6357
FLEV3,2119,8476
FLEV4,2119,16949
FLC,2120,2120
FLEV1,2120,6359
FLEV2,2120,6360
FLEV3,2120,8480
FLEV4,2120,16957
FLC,2121,2121
FLEV1,2121,6362
FLEV2,2121,6363
FLEV3,2121,8484
FLEV4,2121,16965
FLC,2122,2122
FLEV1,2122,6365
FLEV2,2122,6366
FLEV3,2122,8488
FLEV4,2122,16973
FLC,2123,2123
FLEV1,2123,6368
FLEV2,2123,6369
FLEV3,2123,8492
FLEV4,2123,16981
FLC,2124,2124
FLEV1,2124,6371
FLEV2,2124,6372
FLEV3,2124,8496
FLEV4,2124,16989
FLC,2125,2125
FLEV1,2125,6374
FLEV2,2125,6375
FLEV3,2125,8500
FLEV4,2125,16997
FLC,2126,2126
FLEV1,2126,6377
FLEV2,2126,6378
FLEV3,2126,8504
FLEV4,2126,17005
FLC,2127,2127
FLEV1,2127,6380
FLEV2,2127,6381
FLEV3,2127,8508
FLEV4,2127,17013
FLC,2128,2128
FLEV1,2128,6383
FLEV2,2128,6384
FLEV3,2128,8512
FLEV4,2128,17021
FLC,2129,2129
FLEV1,2129,6386
FLEV2,2129,6387
FLEV3,2129,8516
FLEV4,2129,17029
FLC,2130,2130
FLEV1,2130,6389
FLEV2,2130,6390
FLEV3,2130,8520
FLEV4,2130,17037
FLC,2131,2131
FLEV1,2131,6392
FLEV2,2131,6393
FLEV3,2131,8524
FLEV4,2131,17045
FLC,2132,2132
FLEV1,2132,6395
FLEV2,2132,6396
FLEV3,2132,8528
FLEV4,2132,17053
FLC,2133,2133
FLEV1,2133,6398
FLEV2,2133,6399
FLEV3,2133,8532
FLEV4,2133,17061
FLC,2134,2134
FLEV1,2134,6401
FLEV2,2134,6402
FLEV3,2134,8536
FLEV4,2134,17069
FLC,2135,2135
FLEV1,2135,6404
FLEV2,2135,6405
FLEV3,2135,8540
FLEV4,2135,17077
FLC,2136,2136
FLEV1,2136,6407
FLEV2,2136,6408
FLEV3,2136,8544
FLEV4,2136,17085
FLC,2137,2137
FLEV1,2137,6410
FLEV2,2137,6411
FLEV3,2137,8548
FLEV4,2137,17093
FLC,2138,2138
FLEV1,2138,6413
FLEV2,2138,6414
FLEV3,2138,8552
FLEV4,2138,17101
FLC,2139,2139
FLEV1,2139,6416
FLEV2,2139,6417
FLEV3,2139,8556
FLEV4,2139,17109
FLC,2140,2140
FLEV1,2140,6419
FLEV2,2140,6420
FLEV3,2140,8560
FLEV4,2140,17117
FLC,2141,2141
FLEV1,2141,6422
FLEV2,2141,6423
FLEV3,2141,8564
FLEV4,2141,17125
FLC,2142,2142
FLEV1,2142,6425
FLEV2,2142,6426
FLEV3,2142,8568
FLEV4,2142,17133
FLC,2143,2143
FLEV1,2143,6428
FLEV2,2143,6429
FLEV3,2143,8572
FLEV4,2143,17141
FLC,2144,2144
FLEV1,2144,6431
FLEV2,2144,6432
FLEV3,2144,8576
FLEV4,2144,17149
FLC,2145,2145
FLEV1,2145,6434
FLEV2,2145,6435
FLEV3,2145,8580
FLEV4,2145,17157
FLC,2146,2146
FLEV1,2146,6437
FLEV2,2146,6438
FLEV3,2146,8584
FLEV4,2146,17165
FLC,2147,2147
FLEV1,2147,6440
FLEV2,2147,6441
FLEV3,2147,8588
FLEV4,2147,17173
FLC,2148,2148
FLEV1,2148,6443
FLEV2,2148,6444
FLEV3,2148,8592
FLEV4,2148,17181
FLC,2149,2149
FLEV1,2149,6446
FLEV2,2149,6447
FLEV3,2149,8596
FLEV4,2149,17189
FLC,2150,2150
FLEV1,2150,6449
FLEV2,2150,6450
FLEV3,2150,8600
FLEV4,2150,17197
FLC,2151,2151
FLEV1,2151,6452
FLEV2,2151,6453
FLEV3,2151,8604
FLEV4,2151,17205
FLC,2152,2152
FLEV1,2152,6455
FLEV2,2152,6456
FLEV3,2152,8608
FLEV4,2152,17213
FLC,2153,2153
FLEV1,2153,6458
FLEV2,2153,6459
FLEV3,2153,8612
FLEV4,2153,17221
FLC,2154,2154
FLEV1,2154,6461
FLEV2,2154,6462
FLEV3,2154,8616
FLEV4,2154,17229
FLC,2155,2155
FLEV1,2155,6464
FLEV2,2155,6465
FLEV3,2155,8620
FLEV4,2155,17237
FLC,2156,2156
FLEV1,2156,6467
FLEV2,2156,6468
FLEV3,2156,8624
FLEV4,2156,17245
FLC,2157,2157
FLEV1,2157,6470
FLEV2,2157,6471
FLEV3,2157,8628
FLEV4,2157,17253
FLC,2158,2158
FLEV1,2158,6473
FLEV2,2158,6474
FLEV3,2158,8632
FLEV4,2158,17261
FLC,2159,2159
FLEV1,2159,6476
FLEV2,2159,6477
FLEV3,2159,8636
FLEV4,2159,17269
FLC,2160,2160
FLEV1,2160,6479
FLEV2,2160,6480
FLEV3,2160,8640
FLEV4,2160,17277
FLC,2161,2161
FLEV1,2161,6482
FLEV2,2161,6483
FLEV3,2161,8644
FLEV4,2161,17285
FLC,2162,2162
FLEV1,2162,6485
FLEV2,2162,6486
FLEV3,2162,8648
FLEV4,2162,17293
FLC,2163,2163
FLEV1,2163,6488
FLEV2,2163,6489
FLEV3,2163,8652
FLEV4,2163,17301
FLC,2164,2164
FLEV1,2164,6491
FLEV2,2164,6492
FLEV3,2164,8656
FLEV4,2164,17309
FLC,2165,2165
FLEV1,2165,6494
FLEV2,2165,6495
FLEV3,2165,8660
FLEV4,2165,17317
FLC,2166,2166
FLEV1,2166,6497
FLEV2,2166,6498
FLEV3,2166,8664
FLEV4,2166,17325
FLC,2167,2167
FLEV1,2167,6500
FLEV2,2167,6501
FLEV3,2167,8668
FLEV4,2167,17333
FLC,2168,2168
FLEV1,2168,6503
FLEV2,2168,6504
FLEV3,2168,8672
FLEV4,2168,17341
FLC,2169,2169
FLEV1,2169,6506
FLEV2,2169,6507
FLEV3,2169,8676
FLEV4,2169,17349
FLC,2170,2170
FLEV1,2170,6509
FLEV2,2170,6510
FLEV3,2170,8680
FLEV4,2170,17357
FLC,2171,2171
FLEV1,2171,6512
FLEV2,2171,6513
FLEV3,2171,8684
FLEV4,2171,17365
FLC,2172,2172
FLEV1,2172,6515
FLEV2,2172,6516
FLEV3,2172,8688
FLEV4,2172,17373
FLC,2173,2173
FLEV1,2173,6518
FLEV2,2173,6519
FLEV3,2173,8692
FLEV4,2173,17381
FLC,2174,2174
FLEV1,2174,6521
FLEV2,2174,6522
FLEV3,2174,8696
FLEV4,2174,17389
FLC,2175,2175
FLEV1,2175,6524
FLEV2,2175,6525
FLEV3,2175,8700
FLEV4,2175,17397
FLC,2176,2176
FLEV1,2176,6527
FLEV2,2176,6528
FLEV3,2176,8704
FLEV4,2176,17405
FLC,2177,2177
FLEV1,2177,6530
FLEV2,2177,6531
FLEV3,2177,8708
FLEV4,2177,17413
FLC,2178,2178
FLEV1,2178,6533
FLEV2,2178,6534
FLEV3,2178,8712
FLEV4,2178,17421
FLC,2179,2179
FLEV1,2179,6536
FLEV2,2179,6537
FLEV3,2179,8716
FLEV4,2179,17429
FLC,2180,2180
FLEV1,2180,6539
FLEV2,2180,6540
FLEV3,2180,8720
FLEV4,2180,17437
FLC,2181,2181
FLEV1,2181,6542
FLEV2,2181,6543
FLEV3,2181,8724
FLEV4,2181,17445
FLC,2182,2182
FLEV1,2182,6545
FLEV2,2182,6546
FLEV3,2182,8728
FLEV4,2182,17453
FLC,2183,2183
FLEV1,2183,6548
FLEV2,2183,6549
FLEV3,2183,8732
FLEV4,2183,17461
FLC,2184,2184
FLEV1,2184,6551
FLEV2,2184,6552
FLEV3,2184,8736
FLEV4,2184,17469
FLC,2185,2185
FLEV1,2185,6554
FLEV2,2185,6555
FLEV3,2185,8740
FLEV4,2185,17477
FLC,2186,2186
FLEV1,2186,6557
FLEV2,2186,6558
FLEV3,2186,8744
FLEV4,2186,17485
FLC,2187,2187
FLEV1,2187,6560
FLEV2,2187,6561
FLEV3,2187,8748
FLEV4,2187,17493
FLC,2188,2188
FLEV1,2188,6563
FLEV2,2188,6564
FLEV3,2188,8752
FLEV4,2188,17501
FLC,2189,2189
FLEV1,2189,6566
FLEV2,2189,6567
FLEV3,2189,8756
FLEV4,2189,17509
FLC,2190,2190
FLEV1,2190,6569
FLEV2,2190,6570
FLEV3,2190,8760
FLEV4,2190,17517
FLC,2191,2191
FLEV1,2191,6572
FLEV2,2191,6573
FLEV3,2191,8764
FLEV4,2191,17525
FLC,2192,2192
FLEV1,2192,6575
FLEV2,2192,6576
FLEV3,2192,8768
FLEV4,2192,17533
FLC,2193,2193
FLEV1,2193,6578
FLEV2,2193,6579
FLEV3,2193,8772
FLEV4,2193,17541
FLC,2194,2194
FLEV1,2194,6581
FLEV2,2194,6582
FLEV3,2194,8776
FLEV4,2194,17549
FLC,2195,2195
FLEV1,2195,6584
FLEV2,2195,6585
FLEV3,2195,8780
FLEV4,2195,17557
FLC,2196,2196
FLEV1,2196,6587
FLEV2,2196,6588
FLEV3,2196,8784
FLEV4,2196,17565
FLC,2197,2197
FLEV1,2197,6590
FLEV2,2197,6591
FLEV3,2197,8788
FLEV4,2197,17573
FLC,2198,2198
FLEV1,2198,6593
FLEV2,2198,6594
FLEV3,2198,8792
FLEV4,2198,17581
FLC,2199,2199
FLEV1,2199,6596
FLEV2,2199,6597
FLEV3,2199,8796
FLEV4,2199,17589
FLC,2200,2200
FLEV1,2200,6599
FLEV2,2200,6600
FLEV3,2200,8800
FLEV4,2200,17597
FLC,2201,2201
FLEV1,2201,6602
FLEV2,2201,6603
FLEV3,2201,8804
FLEV4,2201,17605
FLC,2202,2202
