Fila,n,C(n)
FLC,58,58
FLEV1,58,173
FLEV2,58,174
FLEV3,58,232
FLEV4,58,461
FLC,59,59
FLEV1,59,176
FLEV2,59,177
FLEV3,59,236
FLEV4,59,469
FLC,60,60
FLEV1,60,179
FLEV2,60,180
FLEV3,60,240
FLEV4,60,477
FLC,61,61
FLEV1,61,182
FLEV2,61,183
FLEV3,61,244
FLEV4,61,485
FLC,62,62
FLEV1,62,185
FLEV2,62,186
FLEV3,62,248
FLEV4,62,493
FLC,63,63
FLEV1,63,188
FLEV2,63,189
FLEV3,63,252
FLEV4,63,501
FLC,64,64
FLEV1,64,191
FLEV2,64,192
FLEV3,64,256
FLEV4,64,509
FLC,65,65
FLEV1,65,194
FLEV2,65,195
FLEV3,65,260
FLEV4,65,517
FLC,66,66
FLEV1,66,197
FLEV2,66,198
FLEV3,66,264
FLEV4,66,525
FLC,67,67
FLEV1,67,200
FLEV2,67,201
FLEV3,67,268
FLEV4,67,533
FLC,68,68
FLEV1,68,203
FLEV2,68,204
FLEV3,68,272
FLEV4,68,541
FLC,69,69
FLEV1,69,206
FLEV2,69,207
FLEV3,69,276
FLEV4,69,549
FLC,70,70
FLEV1,70,209
FLEV2,70,210
FLEV3,70,280
FLEV4,70,557
FLC,71,71
FLEV1,71,212
FLEV2,71,213
FLEV3,71,284
FLEV4,71,565
FLC,72,72
FLEV1,72,215
FLEV2,72,216
FLEV3,72,288
FLEV4,72,573
FLC,73,73
FLEV1,73,218
FLEV2,73,219
FLEV3,73,292
FLEV4,73,581
FLC,74,74
FLEV1,74,221
FLEV2,74,222
FLEV3,74,296
FLEV4,74,589
FLC,75,75
FLEV1,75,224
FLEV2,75,225
FLEV3,75,300
FLEV4,75,597
FLC,76,76
FLEV1,76,227
FLEV2,76,228
FLEV3,76,304
FLEV4,76,605
FLC,77,77
FLEV1,77,230
FLEV2,77,231
FLEV3,77,308
FLEV4,77,613
FLC,78,78
FLEV1,78,233
FLEV2,78,234
FLEV3,78,312
FLEV4,78,621
FLC,79,79
FLEV1,79,236
FLEV2,79,237
FLEV3,79,316
FLEV4,79,629
FLC,80,80
FLEV1,80,239
FLEV2,80,240
FLEV3,80,320
FLEV4,80,637
FLC,81,81
FLEV1,81,242
FLEV2,81,243
FLEV3,81,324
FLEV4,81,645
FLC,82,82
FLEV1,82,245
FLEV2,82,246
FLEV3,82,328
FLEV4,82,653
FLC,83,83
FLEV1,83,248
FLEV2,83,249
FLEV3,83,332
FLEV4,83,661
FLC,84,84
FLEV1,84,251
FLEV2,84,252
FLEV3,84,336
FLEV4,84,669
FLC,85,85
FLEV1,85,254
FLEV2,85,255
FLEV3,85,340
FLEV4,85,677
FLC,86,86
FLEV1,86,257
FLEV2,86,258
FLEV3,86,344
FLEV4,86,685
FLC,87,87
FLEV1,87,260
FLEV2,87,261
FLEV3,87,348
FLEV4,87,693
FLC,88,88
FLEV1,88,263
FLEV2,88,264
FLEV3,88,352
FLEV4,88,701
FLC,89,89
FLEV1,89,266
FLEV2,89,267
FLEV3,89,356
FLEV4,89,709
FLC,90,90
FLEV1,90,269
FLEV2,90,270
FLEV3,90,360
FLEV4,90,717
FLC,91,91
FLEV1,91,272
FLEV2,91,273
FLEV3,91,364
FLEV4,91,725
FLC,92,92
FLEV1,92,275
FLEV2,92,276
FLEV3,92,368
FLEV4,92,733
FLC,93,93
FLEV1,93,278
FLEV2,93,279
FLEV3,93,372
FLEV4,93,741
FLC,94,94
FLEV1,94,281
FLEV2,94,282
FLEV3,94,376
FLEV4,94,749
FLC,95,95
FLEV1,95,284
FLEV2,95,285
FLEV3,95,380
FLEV4,95,757
FLC,96,96
FLEV1,96,287
FLEV2,96,288
FLEV3,96,384
FLEV4,96,765
FLC,97,97
FLEV1,97,290
FLEV2,97,291
FLEV3,97,388
FLEV4,97,773
FLC,98,98
FLEV1,98,293
FLEV2,98,294
FLEV3,98,392
FLEV4,98,781
FLC,99,99
FLEV1,99,296
FLEV2,99,297
FLEV3,99,396
FLEV4,99,789
FLC,100,100
FLEV1,100,299
FLEV2,100,300
FLEV3,100,400
FLEV4,100,797
FLC,101,101
FLEV1,101,302
FLEV2,101,303
FLEV3,101,404
FLEV4,101,805
FLC,102,102
FLEV1,102,305
FLEV2,102,306
FLEV3,102,408
FLEV4,102,813
FLC,103,103
FLEV1,103,308
FLEV2,103,309
FLEV3,103,412
FLEV4,103,821
FLC,104,104
FLEV1,104,311
FLEV2,104,312
FLEV3,104,416
FLEV4,104,829
FLC,105,105
FLEV1,105,314
FLEV2,105,315
FLEV3,105,420
FLEV4,105,837
FLC,106,106
FLEV1,106,317
FLEV2,106,318
FLEV3,106,424
FLEV4,106,845
FLC,107,107
FLEV1,107,320
FLEV2,107,321
FLEV3,107,428
FLEV4,107,853
FLC,108,108
FLEV1,108,323
FLEV2,108,324
FLEV3,108,432
FLEV4,108,861
FLC,109,109
FLEV1,109,326
FLEV2,109,327
FLEV3,109,436
FLEV4,109,869
FLC,110,110
FLEV1,110,329
FLEV2,110,330
FLEV3,110,440
FLEV4,110,877
FLC,111,111
FLEV1,111,332
FLEV2,111,333
FLEV3,111,444
FLEV4,111,885
FLC,112,112
FLEV1,112,335
FLEV2,112,336
FLEV3,112,448
FLEV4,112,893
FLC,113,113
FLEV1,113,338
FLEV2,113,339
FLEV3,113,452
FLEV4,113,901
FLC,114,114
FLEV1,114,341
FLEV2,114,342
FLEV3,114,456
FLEV4,114,909
FLC,115,115
FLEV1,115,344
FLEV2,115,345
FLEV3,115,460
FLEV4,115,917
FLC,116,116
FLEV1,116,347
FLEV2,116,348
FLEV3,116,464
FLEV4,116,925
FLC,117,117
FLEV1,117,350
FLEV2,117,351
FLEV3,117,468
FLEV4,117,933
FLC,118,118
FLEV1,118,353
FLEV2,118,354
FLEV3,118,472
FLEV4,118,941
FLC,119,119
FLEV1,119,356
FLEV2,119,357
FLEV3,119,476
FLEV4,119,949
FLC,120,120
FLEV1,120,359
FLEV2,120,360
FLEV3,120,480
FLEV4,120,957
FLC,121,121
FLEV1,121,362
FLEV2,121,363
FLEV3,121,484
FLEV4,121,965
FLC,122,122
FLEV1,122,365
FLEV2,122,366
FLEV3,122,488
FLEV4,122,973
FLC,123,123
FLEV1,123,368
FLEV2,123,369
FLEV3,123,492
FLEV4,123,981
FLC,124,124
FLEV1,124,371
FLEV2,124,372
FLEV3,124,496
FLEV4,124,989
FLC,125,125
FLEV1,125,374
FLEV2,125,375
FLEV3,125,500
FLEV4,125,997
FLC,126,126
FLEV1,126,377
FLEV2,126,378
FLEV3,126,504
FLEV4,126,1005
FLC,127,127
FLEV1,127,380
FLEV2,127,381
FLEV3,127,508
FLEV4,127,1013
FLC,128,128
FLEV1,128,383
FLEV2,128,384
FLEV3,128,512
FLEV4,128,1021
FLC,129,129
FLEV1,129,386
FLEV2,129,387
FLEV3,129,516
FLEV4,129,1029
FLC,130,130
FLEV1,130,389
FLEV2,130,390
FLEV3,130,520
FLEV4,130,1037
FLC,131,131
FLEV1,131,392
FLEV2,131,393
FLEV3,131,524
FLEV4,131,1045
FLC,132,132
FLEV1,132,395
FLEV2,132,396
FLEV3,132,528
FLEV4,132,1053
FLC,133,133
FLEV1,133,398
FLEV2,133,399
FLEV3,133,532
FLEV4,133,1061
FLC,134,134
FLEV1,134,401
FLEV2,134,402
FLEV3,134,536
FLEV4,134,1069
FLC,135,135
FLEV1,135,404
FLEV2,135,405
FLEV3,135,540
FLEV4,135,1077
FLC,136,136
FLEV1,136,407
FLEV2,136,408
FLEV3,136,544
FLEV4,136,1085
FLC,137,137
FLEV1,137,410
FLEV2,137,411
FLEV3,137,548
FLEV4,137,1093
FLC,138,138
FLEV1,138,413
FLEV2,138,414
FLEV3,138,552
FLEV4,138,1101
FLC,139,139
FLEV1,139,416
FLEV2,139,417
FLEV3,139,556
FLEV4,139,1109
FLC,140,140
FLEV1,140,419
FLEV2,140,420
FLEV3,140,560
FLEV4,140,1117
FLC,141,141
FLEV1,141,422
FLEV2,141,423
FLEV3,141,564
FLEV4,141,1125
FLC,142,142
FLEV1,142,425
FLEV2,142,426
FLEV3,142,568
FLEV4,142,1133
FLC,143,143
FLEV1,143,428
FLEV2,143,429
FLEV3,143,572
FLEV4,143,1141
FLC,144,144
FLEV1,144,431
FLEV2,144,432
FLEV3,144,576
FLEV4,144,1149
FLC,145,145
FLEV1,145,434
FLEV2,145,435
FLEV3,145,580
FLEV4,145,1157
FLC,146,146
FLEV1,146,437
FLEV2,146,438
FLEV3,146,584
FLEV4,146,1165
FLC,147,147
FLEV1,147,440
FLEV2,147,441
FLEV3,147,588
FLEV4,147,1173
FLC,148,148
FLEV1,148,443
FLEV2,148,444
FLEV3,148,592
FLEV4,148,1181
FLC,149,149
FLEV1,149,446
FLEV2,149,447
FLEV3,149,596
FLEV4,149,1189
FLC,150,150
FLEV1,150,449
FLEV2,150,450
FLEV3,150,600
FLEV4,150,1197
FLC,151,151
FLEV1,151,452
FLEV2,151,453
FLEV3,151,604
FLEV4,151,1205
FLC,152,152
FLEV1,152,455
FLEV2,152,456
FLEV3,152,608
FLEV4,152,1213
FLC,153,153
FLEV1,153,458
FLEV2,153,459
FLEV3,153,612
FLEV4,153,1221
FLC,154,154
FLEV1,154,461
FLEV2,154,462
FLEV3,154,616
FLEV4,154,1229
FLC,155,155
FLEV1,155,464
FLEV2,155,465
FLEV3,155,620
FLEV4,155,1237
FLC,156,156
FLEV1,156,467
FLEV2,156,468
FLEV3,156,624
FLEV4,156,1245
FLC,157,157
FLEV1,157,470
FLEV2,157,471
FLEV3,157,628
FLEV4,157,1253
FLC,158,158
FLEV1,158,473
FLEV2,158,474
FLEV3,158,632
FLEV4,158,1261
FLC,159,159
FLEV1,159,476
FLEV2,159,477
FLEV3,159,636
FLEV4,159,1269
FLC,160,160
FLEV1,160,479
FLEV2,160,480
FLEV3,160,640
FLEV4,160,1277
FLC,161,161
FLEV1,161,482
FLEV2,161,483
FLEV3,161,644
FLEV4,161,1285
FLC,162,162
FLEV1,162,485
FLEV2,162,486
